Лексика			Иероглифы			 
						
異文化間コミュニケーション	いぶんかかんコミュニケーション	межкультурная коммуникация 	確	カク、たしかな、たしかめる	достоверный, удостовериться	
行動や価値観	こうどうやかちかん	поведение и ценности	移	イ、うつる、うつす	переезжать, перемещать	
文化的背景	ぶんかてきはいけい	культурный бэкграунд	難	ナン、むずかしい、かたい、にくい、	Сложный, трудный	
思わぬ誤解をまねく	おもわぬりかいをまねく	привести к непредвиденным недоразумениям	表	ヒョウ、あらわす、あらわれる、おもて	Выражать, выражаться, лицевая сторона	
論理的な思考	ろんりてきなしこう	логическое мышление	現	ゲン、あらわす、あらわれる、うつつ	Проявлять, показаться, реальность	
国民的マンガ	こくみんてきマンガ	национальная манга	頼	ライ、たのむ、たのもしい、たよる	просить, надежный, полагаться	
普通のサラリーマンと結婚している	ふつうのサラリーマンとけっこんしている	замужем за простым служащим	放	ホウ、ほうる、はなつ、はなす、はなれる	бросать, выпускать, отпускать, получить свободу	
平凡な主婦	へいぼんなしゅふ	обычная домохозяйка	異	イ、ことなる、ことにする	отличаться	
