Лексика			Иероглифы			 
						
異文化間コミュニケーション	いぶんかかんコミュニケーション	межкультурная коммуникация 	確	カク、たしかな、たしかめる	достоверный, удостовериться	
行動や価値観	こうどうやかちかん	поведение и ценности	移	イ、うつる、うつす	переезжать, перемещать	
文化的背景	ぶんかてきはいけい	культурный бэкграунд	難	ナン、むずかしい、かたい、にくい、	Сложный, трудный	
思わぬ誤解をまねく	おもわぬりかいをまねく	привести к непредвиденным недоразумениям	表	ヒョウ、あらわす、あらわれる、おもて	Выражать, выражаться, лицевая сторона	
論理的な思考	ろんりてきなしこう	логическое мышление	現	ゲン、あらわす、あらわれる、うつつ	Проявлять, показаться, реальность	
国民的マンガ	こくみんてきマンガ	национальная манга	頼	ライ、たのむ、たのもしい、たよる	просить, надежный, полагаться	
普通のサラリーマンと結婚している	ふつうのサラリーマンとけっこんしている	замужем за простым служащим	放	ホウ、ほうる、はなつ、はなす、はなれる	бросать, выпускать, отпускать, получить свободу	
平凡な主婦	へいぼんなしゅふ	обычная домохозяйка	異	イ、ことなる、ことにする	отличаться	
ユーモアあふれるくらし	ユーモアあふれるくらし	жизнь полная юмора	得	トク、える、うる	выгода, получать, приобретать	
戦後の日本人の生活	せんごのにほんじんのせいかつ	послевоенная жизнь японцев	誤	ゴ、あやまる、あやまり	ошибаться, ошибка	
日本独特の行事・習慣	にほんどくとくのぎょうじ、しゅうかん	уникальные японские праздники и обычаи	卷	カン、まく、まき	том, сворачивать, свиток	
理解しにくい表現	りかいしにくいひょうげん	трудное для понимания выражения	深	シン、ふかい、ふかめる、ふかまる	глубокий, углублять, углубляться	
英語に訳す・移す	えいごにやくす、うつす	перевести/переложить на английский	快	カイ、こころよい	удовольствие, приятный	
怒る・笑う	おこる、わらう	злиться/смеяться	戦	セン、たたかう、いくさ、おののく、そよぐ	война, сражаться, битва, дрожать, шуршать	
具体的な表現	ぐたいてきなひょうげん	конкретное выражение				
共通点が多い	きょうつうてんがおおい	много общего				
注意しなければならないのは	ちゅういしなければならないのは	нужно быть осторожным				
漢字の意味の違い	かんじのいみのちがい	разница в значениях кандзи				
感情を害する	かんじょうをがいする	задеть чувства				
