Лексика			Иероглифы			Грамматика
						
文明	ぶんめい	цивилизация	様	ヨウ、ショウ、さん、さま	Вежливый суффикс	
多様性	たようせい	многообразие, разнообразие	欧	オウ、(うたう、はく)	Европа	
異質性	いしつせい	разнородность, гетерогенность	草	ソウ、くさ	трава	
風土	ふうど	природные (климатические)особенности	砂	サ、シャ、すな	песок	
雑草	ざっそう	сорные травы, бурьян	漠	バク	пустыня, широкий	
地域	ちいき	регион, район, область	域	イキ	район, границы, рамки	
砂漠	さばく	пустыня	候	コウ、そうろう	климат, погода, сезон	
モンスーン	англ.monsoon	муссон	徹			
地中海	ちちゅうかい	Средиземное море	底	テイ、そこ	дно, донышко	
(を)目にする		обратить внимание на что-л.	至	シ、いたる	доходить, достигать	
草取り	くさとり	прополка	精	セイ、ショウ	энергия, сила, дух	
(に)明け暮れる	あけくれる	заниматься чем-л. целыми днями, с утра до ночи	構	コウ、かまえる、かまう	устраивать, строить, притворяться, заботиться, вмешиваться	
牧草	ぼくそう	кормовые травы, луговые травы	及	キュウ、およぶ、およぼす	достигать, доходить, распространяться, распространять	
(を)体験する	たいけんする	испытать ч-л. на собственном опыте	徴	チョウ、チ、しるし	знак, знамение, символ	
湿潤	しつじゅん	сырость, влажность	耐	タイ、たえる	терпеть, выносить, быть пригодным	
乾燥	かんそう	сухость	恵	ケイ、エ、めぐむ、めぐみ	мудрость, благодеяние, милость, благотворительность, подавать милостыню, благословлять	
徹底的（な）	てっていてき	абсолютный, полный,исчерпывающий	乏	ボウ、とぼしい	бедный, скудный	
(に)至る	いたる	доходить, достигать	批	ヒ	критика	
もはや…ない		больше не…	判	ハン、バン、わかる	печать, штамп, приговор, понимать	
精神構造	せいしんこうぞう	менталитет	宗	シュウ、ソウ、むね	религия, секта, род, главный дом	
(に)影響を及ぼす	えいきょうをおよぼす	оказывать влияние на что-л.	武	ブ、ム、(たけ、たけし)	военное дело, воин, баталия	
類型	るいけい	тип	敵	テキ、かたき、かなう	враг, противник, оппонент, равняться, противостоять, соответствовать 	
(を)形成する	けいせいする	образовывать, формировать	諸	ショ、もろ	много, все, различный	
特徴	とくちょう	особенность	保	ホ、ホウ、たもつ	защита, охрана, сохранять, поддерживать	
熱帯	ねったい	тропический пояс, тропики	追	ツイ、おう	гнать, прогонять, выгонять	
暑熱	しょねつ	зной	抑	ヨク、そも、おさえる	давление, контроль, оказывать давление, контролировать, сдерживать	
湿気	しっけ	сырость, влажность	触	ショク、ふれる、さわる	трогать, прикасаться, задевать	
(を)もたらす		вызывать, влечь, приводить к чему-л.	移	イ、うつる、うつす	перемещать, переносить, переезжать, перемещаться	
気候	きこう	климат	制	セイ	система, закон, правило	
(に)耐える	たえる	терпеть, выдерживать	局	キョク	управление, бюро, игра в го	
豊かな	ゆたかな	обильный,богатый	仏	ブツ、フツ、ほとけ	Будда, франция(?)	
食物	しょくもつ	пища, продукты питания				
(を)恵む	めぐむ	одарить чем-л., дать что-л.				
受容的（な）	じゅようてき	восприимчивый				
忍従的（な）	にんじゅうてき	покорный, смиренный				
蒙古	もうこ	Монголия​モンゴル				
生気をなくす	せいき	терять жизненную энергию				
部族	ぶぞく	племя				
団結	だんけつ	единство				
乏しい	とぼしい	скудный				
戦い	たたかい	битва,борьба				
南欧 	なんおう	Южная Европа 				
北欧	ほくおう	Северная Европа				
牧場	ぼくじょう	пастбище				
茂る	しげる	густо расти				
従順な	じゅうじゅんな	послушный, покорный				
合理的（な） ～精神	ごうりてき～せいしん	рациональный, логический =логическое мышление				
(が)発達する	はったつする	развиваться				
観念	かんねん	понятие, концепция				
(を)発刊する	はっかんする	впервые публиковать/издавать				
今なお	いまなお	всё еще,даже теперь				
批判	ひはん	критика				
方面	ほうめん	область, сфера, аспект, точка зрения				
学問的（な）	がくもんてき	научный, исследовательский				
手続き (学問的手続き)	てつづき	процедура, формальности = научные методы				
漠然に／と	ばくぜん	смутно, неясно				
(を)掘り下げる	ほりさげる	докапываться (до истины), тщательно исследовать				
たくみ(な)		ловкий, умелый, искусный				
文化論	ぶんかろん	культурологическая теория				
(を)くり広げる		разворачивать, раскрывать				
天才的（な）	てんさいてき	гениальный				
詩人的（な）	しじんてき	поэтический, присущий поэту				
直観	ちょっかん	интуиция				
断言する	だんげんする	категорически утверждать, твердо заявлять				
客観性↔主観性	きゃっかんせい↔しゅかんせい かける	объективность ↔ субъективность				
(に)欠ける		не хватать, недоставать				
生態学	せいたいがく	экология (наука)				
稲作	いなさく	выращивание риса				
関連	かんれん	связь, отношение				
芸術	げいじゅつ	искусство				
宗教	しゅうきょう	религия				
哲学	てつがく	философия				
民族性	みんぞくせい	национальный характер, национальные черты				
手がかりになる		стать ключом к пониманию, стать подсказкой для чего-л.				
側面	そくめん	сторона, аспект, точка зрения				
生産	せいさん	производство				
視点	してん	точка зрения				
(に)働きかける	はたらきかける	воздействовать, влиять на что-л.				
(が)発展する	はってんする	развиваться				
(を)滅ぼす	ほろぼす	уничтожить, разрушить				
相互作用	そうごさよう	взаимодействие				
たえず		непрерывно				
多文化	たぶんか	мультикультурализм				
近代化 ~する	きんだいか	модернизация модернизироваться				
西欧化 ~する	せいおうか	европеизация европеизироваться				
明治時代	めいじじだい	эпоха Мэйдзи				
西欧	せいおう	Западная Европа				
近代	きんだい	новейшее время				
~文明	~ぶんめい	современная цивилизация				
~科学	~かがく	современная наука				
(を)取り入れる	とりいれる	заимствовать, принять, усвоить				
和魂洋才	わこんようさい	«японский дух — западная техника» ("взять новейшие знания, выработанные иностранцами, но не позволить им пошатнуть основы японского образа мышления»)				
制度	せいど	система				
とりわけ		в особенности, в частности				
日常生活	にちじょうせいかつ	быт				
〜の面で	~のめんで	с точки зрения, в аспекте				
武士道	ぶしどう	«бусидо», принцип самурайской морали				
封建的(な)	ほうけんてき	феодальный				
(を)保つ	たもつ	сохранять, оберегать				
戦後	せんご	после (Второй мировой) войны				
高度経済成長	こうどけいざいせいちょう	период высоких темпов экономического роста, т.н. «японское экономическое чудо» (1958-1973)				
アイデンティティ	англ. identity	идентичность, личность				
危機	きき	кризис, критическое положение				
喪失	そうしつ	потеря, лишение				
自己	じこ	сам, свой, личный				
風潮	ふうちょう	общественное направление, течение, тенденция				
中近東	ちゅうきんとう	Ближний и Средний Восток				
諸国	しょこく	(разные) страны				
あるいは		или, либо				
段階	だんかい	стадия, этап				
(...を...に)位置づ ける	いちづける	определить/оценить положение чего-л. в чем-л.				
見方	みかた	точка зрения, мнение, позиция				
(の)後を追う	あとをおう	гнаться за кем-л.; идти по стопам когда-нибудь				
いずれ		когда-нибудь				
到達点	とうたつてん	достигнутый уровень (развития)				
多様な	たような	разнообразный				
西洋↔東洋	せいよう ↔ とうよう	Запад, западные страны ↔ Восток, восточные страны				
要素	ようそ	(важный) элемент, фактор				
全体的に	ぜんたいてきに	в целом				
同質的 ↔ 異質的	どうしつてき ↔ いしつてき	однородный ↔разнородный				
ひとくくりにする		грести под одну гребенку, чрезмерно обобщать				
仏教	ぶっきょう	буддизм				
イスラム教	イスラムきょう	ислам				
キリスト教	キリストきょう	христианство				
儒教	じゅきょう	Конфуцианство				
道教	どうきょう	даосизм				
冷戦	れいせん	Холодная война				
争い	あらそい	ссора, конфликт; спор				
一気に	いっきに	разом, за один раз				
表面	ひょうめん	Поверхность				
イデオロギー	нем. Ideologie	идеология				
(を)抑える	おさえる	сдерживать, удерживать, подавлять				
急速に	きゅうそくに	быстро, быстрыми темпами				
グローバル化		глобализация				
相互関係	そうごかんけい	взаимоотношение, взаимосвязь				
結びつく	むすびつく	быть связанным				
さらに		кроме того, вдобавок к этому				
交通・通信技術	こうつう・つうしんぎじゅつ	информационно- коммуникационные технологии				
(を)越える	こえる	преодолевать				
移動する	いどうする	перемещаться				
できごと		событие				
すぐさま		сразу, немедленно				
結局	けっきょく	в конце концов, в итоге				
異文化間の	いぶんかかんの	межкультурный, кросс- культурный				
接触	せっしょく	соприкосновение; контакт				
(が)生じる	しょうじる	возникать, появляться; случаться				
(に)触れる	ふれる	1) прикасаться к чему-л.; 2) затрагивать, касаться (о вопросе, теме)				
(を)意識する	いしきする	осознавать				
連帯感	れんたいかん	чувство солидарности				
(に)敵対する	てきたいする	противопоставляться чему-л.				
現象	げんしょう	феномен				
